"","source","year_2015","year_2016","year_2017"
"1","!llmind",1,0,1
"2","2 Chainz",0,0,0
"3","21 Savage",0,0,1
"4","24hrs",0,0,0
"5","Adrian Younge",0,0,0
"6","Aha Gazelle",0,0,0
"7","Ali Shaheed Muhammad",0,0,0
"8","Anderson .Paak",0,0,0
"9","Andreas Moss",0,0,0
"10","Anthony Flammia",0,0,0
"11","Ariana Grande",0,0,0
"12","Astronote",0,0,0
"13","August Alsina",0,0,0
"14","BANKS",0,0,0
"15","BJ the Chicago Kid",0,0,0
"16","Bankroll Fresh",0,0,0
"17","Bebe Rexha",0,0,0
"18","Betty Wright",0,0,0
"19","Big Sean",0,0,1
"20","Bilal",0,0,0
"21","BoBo Swae",0,0,0
"22","CeeLo Green",0,0,0
"23","Ces Cru",0,0,0
"24","Chance the Rapper",0,0,0
"25","Chief Keef",0,0,0
"26","Chris Batson",0,0,0
"27","Chris Brown",0,0,1
"28","CuBeatz",0,0,1
"29","DIA",0,0,0
"30","DJ Don Cannon",0,0,0
"31","Damon Albarn",0,0,0
"32","Darrein Safron",0,0,0
"33","Desiigner",0,1,0
"34","Detail",0,0,1
"35","Dimitri McDowell",0,0,0
"36","Don Q",0,1,1
"37","Drake",1,1,1
"38","Erykah Badu",0,0,0
"39","French Montana",0,0,1
"40","Future",1,1,1
"41","Genius",0,0,0
"42","Gucci Mane",0,0,1
"43","India Shawn",0,0,0
"44","J. Cole",1,0,1
"45","JL of B. Hood",0,0,0
"46","Jamie Foxx",0,0,0
"47","Jhené Aiko",0,0,1
"48","Juicy J",0,0,0
"49","Justin Bieber",0,0,0
"50","Kanye West",1,1,1
"51","Kehlani",0,0,0
"52","Kendrick Lamar",0,0,1
"53","Kyla",1,1,1
"54","Lil Wayne",0,0,0
"55","Lil Yachty",0,1,0
"56","Lyle Leduff",0,0,0
"57","Marty",0,0,0
"58","Nicki Minaj",0,0,0
"59","Offset",1,1,1
"60","PARTYNEXTDOOR",0,0,0
"61","Phonix Beats",1,0,1
"62","Playboi Carti",1,1,1
"63","Screen Genius",0,0,1
"64","T-Pain",0,0,0
"65","Taylor Hill",0,0,0
"66","Travis Scott",1,1,1
"67","Trey Songz",0,0,0
"68","Ty Dolla $ign",0,0,0
"69","Young Thug",1,1,1
"70","Young Thug &amp; Travis Scott",1,1,1
"71","\u200bdvsn",0,0,0
